Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
8.0,307.0,130.0,,12.0,70.0,USA
8.0,350.0,165.0,3693.0,11.5,70.0,USA
,318.0,150.0,3436.0,11.0,,
8.0,304.0,,,,70.0,
8.0,302.0,,3449.0,10.5,70.0,USA
8.0,429.0,198.0,4341.0,10.0,,
8.0,454.0,,4354.0,9.0,70.0,USA
8.0,440.0,215.0,4312.0,8.5,70.0,
8.0,455.0,225.0,4425.0,10.0,70.0,USA
8.0,390.0,190.0,3850.0,8.5,,USA
8.0,,170.0,3563.0,10.0,70.0,USA
8.0,340.0,160.0,3609.0,8.0,70.0,USA
,,150.0,3761.0,9.5,70.0,USA
8.0,455.0,225.0,3086.0,,70.0,
4.0,,95.0,2372.0,15.0,70.0,Japan
6.0,198.0,95.0,,15.5,70.0,USA
6.0,199.0,97.0,2774.0,15.5,70.0,USA
6.0,200.0,,2587.0,16.0,,USA
,97.0,88.0,2130.0,14.5,70.0,Japan
4.0,97.0,46.0,,20.5,,Europe
,110.0,87.0,2672.0,17.5,,
,107.0,,2430.0,,70.0,
4.0,104.0,95.0,,17.5,70.0,Europe
,,,2234.0,12.5,70.0,Europe
6.0,199.0,90.0,,,70.0,USA
8.0,360.0,,4615.0,14.0,70.0,USA
8.0,,200.0,4376.0,15.0,,
8.0,318.0,,4382.0,13.5,70.0,USA
8.0,304.0,193.0,4732.0,18.5,70.0,USA
4.0,97.0,88.0,2130.0,14.5,71.0,Japan
4.0,,90.0,2264.0,15.5,,USA
4.0,113.0,95.0,2228.0,14.0,71.0,Japan
4.0,98.0,,,19.0,,USA
6.0,232.0,,2634.0,,71.0,
6.0,225.0,105.0,,,71.0,
6.0,250.0,100.0,3329.0,15.5,,USA
6.0,250.0,,3302.0,15.5,71.0,USA
6.0,232.0,100.0,,15.5,71.0,USA
,350.0,165.0,4209.0,12.0,71.0,USA
,400.0,175.0,,11.5,,
8.0,351.0,153.0,4154.0,13.5,71.0,USA
,318.0,,,13.0,71.0,USA
8.0,383.0,180.0,4955.0,11.5,,
8.0,400.0,170.0,,,71.0,USA
8.0,400.0,175.0,,12.0,71.0,USA
6.0,258.0,110.0,,,71.0,USA
4.0,,72.0,2408.0,19.0,,USA
6.0,250.0,100.0,3282.0,15.0,,
6.0,250.0,,,,71.0,USA
4.0,122.0,,,14.0,71.0,USA
4.0,116.0,,,,71.0,Europe
4.0,79.0,,,19.5,71.0,Europe
4.0,88.0,76.0,2065.0,14.5,71.0,Europe
,71.0,,,19.0,71.0,Japan
,72.0,69.0,1613.0,,71.0,Japan
4.0,97.0,60.0,1834.0,19.0,,Europe
4.0,,,1955.0,20.5,71.0,USA
4.0,113.0,,,15.5,72.0,Japan
4.0,97.5,80.0,2126.0,,72.0,
4.0,97.0,,2254.0,23.5,,Europe
4.0,,,2408.0,19.5,,USA
,122.0,,,16.5,72.0,USA
8.0,350.0,,4274.0,12.0,72.0,USA
